Hour,Load [kW]
5807.0,6403.677203019525
5808.0,6209.626378685601
5809.0,5821.524730017751
5810.0,5627.473905683824
5811.0,5530.448493516861
5812.0,5433.423081349901
5813.0,4948.296020515088
5814.0,5045.32143268205
5815.0,5336.397669182938
5816.0,6112.600966518637
5817.0,6791.778851687375
5818.0,6694.753439520413
5819.0,6500.702615186488
5820.0,6597.72802735345
5821.0,6791.778851687375
5822.0,7082.855088188262
5823.0,6985.829676021299
5824.0,6209.626378685601
5825.0,6888.8042638543375
5826.0,9023.363331527513
5827.0,9702.541216696247
5828.0,9120.388743694471
5829.0,8053.109209857886
5830.0,6888.8042638543375
5831.0,6403.677203019525
5832.0,6209.626378685601
5833.0,5821.524730017751
5834.0,5627.473905683824
5835.0,5530.448493516861
5836.0,5433.423081349901
5837.0,4948.296020515088
5838.0,5045.32143268205
5839.0,5336.397669182938
5840.0,6112.600966518637
5841.0,6791.778851687375
5842.0,6694.753439520413
5843.0,6500.702615186488
5844.0,6597.72802735345
5845.0,6791.778851687375
5846.0,7082.855088188262
5847.0,6985.829676021299
5848.0,6209.626378685601
5849.0,6888.8042638543375
5850.0,9023.363331527513
5851.0,9702.541216696247
5852.0,9120.388743694471
5853.0,8053.109209857886
5854.0,6888.8042638543375
5855.0,6403.677203019525
5856.0,6209.626378685601
5857.0,5821.524730017751
5858.0,5627.473905683824
5859.0,5530.448493516861
5860.0,5433.423081349901
5861.0,4948.296020515088
5862.0,5045.32143268205
5863.0,5336.397669182938
5864.0,6112.600966518637
5865.0,6791.778851687375
5866.0,6694.753439520413
5867.0,6500.702615186488
5868.0,6597.72802735345
5869.0,6791.778851687375
5870.0,7082.855088188262
5871.0,6985.829676021299
5872.0,6209.626378685601
5873.0,6888.8042638543375
5874.0,9023.363331527513
5875.0,9702.541216696247
5876.0,9120.388743694471
5877.0,8053.109209857886
5878.0,6888.8042638543375
5879.0,6403.677203019525
5880.0,6209.626378685601
5881.0,5821.524730017751
5882.0,5627.473905683824
5883.0,5530.448493516861
5884.0,5433.423081349901
5885.0,4948.296020515088
5886.0,5045.32143268205
5887.0,5336.397669182938
5888.0,6112.600966518637
5889.0,6791.778851687375
5890.0,6694.753439520413
5891.0,6500.702615186488
5892.0,6597.72802735345
5893.0,6791.778851687375
5894.0,7082.855088188262
5895.0,6985.829676021299
5896.0,6209.626378685601
5897.0,6888.8042638543375
5898.0,9023.363331527513
5899.0,9702.541216696247
5900.0,9120.388743694471
5901.0,8053.109209857886
5902.0,6888.8042638543375
5903.0,6403.677203019525
5904.0,6209.626378685601
