Hour,Temperature/K
6397.0,300.84999999999997
6398.0,300.84999999999997
6399.0,300.84999999999997
6400.0,300.84999999999997
6401.0,300.84999999999997
6402.0,300.84999999999997
6403.0,300.84999999999997
6404.0,300.84999999999997
6405.0,300.84999999999997
6406.0,300.84999999999997
6407.0,300.84999999999997
6408.0,301.0
6409.0,301.0
6410.0,301.0
6411.0,301.0
6412.0,301.0
6413.0,301.0
6414.0,301.0
6415.0,301.0
6416.0,301.0
6417.0,301.0
6418.0,301.0
6419.0,301.0
6420.0,301.0
6421.0,301.0
6422.0,301.0
6423.0,301.0
6424.0,301.0
6425.0,301.0
6426.0,301.0
6427.0,301.0
6428.0,301.0
6429.0,301.0
6430.0,301.0
6431.0,301.0
6432.0,301.15999999999997
6433.0,301.15999999999997
6434.0,301.15999999999997
6435.0,301.15999999999997
6436.0,301.15999999999997
6437.0,301.15999999999997
6438.0,301.15999999999997
6439.0,301.15999999999997
6440.0,301.15999999999997
6441.0,301.15999999999997
6442.0,301.15999999999997
6443.0,301.15999999999997
6444.0,301.15999999999997
6445.0,301.15999999999997
6446.0,301.15999999999997
6447.0,301.15999999999997
6448.0,301.15999999999997
6449.0,301.15999999999997
6450.0,301.15999999999997
6451.0,301.15999999999997
6452.0,301.15999999999997
6453.0,301.15999999999997
6454.0,301.15999999999997
6455.0,301.15999999999997
6456.0,300.29999999999995
6457.0,300.29999999999995
6458.0,300.29999999999995
6459.0,300.29999999999995
6460.0,300.29999999999995
6461.0,300.29999999999995
6462.0,300.29999999999995
6463.0,300.29999999999995
6464.0,300.29999999999995
6465.0,300.29999999999995
6466.0,300.29999999999995
6467.0,300.29999999999995
6468.0,300.29999999999995
6469.0,300.29999999999995
6470.0,300.29999999999995
6471.0,300.29999999999995
6472.0,300.29999999999995
6473.0,300.29999999999995
6474.0,300.29999999999995
6475.0,300.29999999999995
6476.0,300.29999999999995
6477.0,300.29999999999995
6478.0,300.29999999999995
6479.0,300.29999999999995
6480.0,300.58
6481.0,300.58
6482.0,300.58
6483.0,300.58
6484.0,300.58
6485.0,300.58
6486.0,300.58
